id,Category,SubCategory,Item Name, Description , Details ,Part Number,Vendor,Minimum Qty,increments,Maximum Qty,Weight,notes,mediawideid,project id,active,expiry,group options,Product Group,units
11,Janitorial,Cleaning Supplies,CLEANER ALL PURPOSE LAVENDER,CLEANER ALL PURPOSE LAVENDER,CLEANER ALL PURPOSE LAVENDER,,1,1,1,50000,1,PINE-SOL,,,N,,,,144 OZ
12,Janitorial,Cleaning Supplies,SOAP FOAM HAND/BODY LUXURY AEROROSE, Foaming Luxury Hand Soap  950 mL *8 CS , Foaming Luxury Hand Soap  950 mL *8 CS ,52569078,1,1,1,50000,1, Kutol ,,,N,,,,1000 ML
13,Janitorial,Cleaning Supplies,SOAP ANTIMICROBIAL FOAM AEROGREEN 1250ML,SOAP ANTIMICROBIAL FOAM AEROGREEN*1250ML*,SOAP ANTIMICROBIAL FOAM AEROGREEN*1250ML*,,1,1,1,50000,1,INTERCON,,,N,,,,1000 ML
14,Janitorial,Cleaning Supplies,SANITIZER HAND INSTANT FOAM, Foaming Instant Hand Sanitizer  950 mL *8 CS , Foaming Instant Hand Sanitizer  950 mL *8 CS ,52568278,1,1,1,50000,1, Kutol ,,,N,,,,1000 ML
15,Disposables,Drinkware,STRAW  JUMBO CLEAR WRAPPED," Choice 7.75"" Wrapped Jumbo Straw *2000 CS "," Each Choice jumbo clear straw measures 7 3/4"" long and 0.219"" in diameter and is individually wrapped, so you can rest assured that you're providing your customers with a safe, sanitary straw option ",485WJ7TN2,1,1,1,50000,8, Choice ,,,Y,,,,500 CT
16,POS/Register,Paper,"TAPE REGISTER 3 1/8"" 1 PLY THERMAL"," 3.125""x230' Thermal POS Register Roll Tape "," Perfect for your restaurant, diner, snack bar, or concession stand, this thermal register roll tape will produce high-quality printed receipts for your customers! This paper is great for printing easy-to-read sales  ",105RR13040,1,1,1,50000,15, WSR ,,,Y,,,,230 FT
17,Kitchen,Food Wrap,"FOIL 18""X1000' HEAVY DUTY"," Choice 18""x1000' Food Service Heavy-Duty Aluminum Foil Roll ","This foil comes in a 1000' long roll, allowing you to choose the exact amount of foil needed for your task, reducing overall waste. Packaged in a convenient cutter-box dispenser, this foil is perfect for commercial kitchen use.",12218X1HD,1,1,1,50000,3, Choice ,,,Y,,,,ROLL
18,Kitchen,Food Wrap,"FILM 18""X 2000'"," AEP 18""x2000' Heavy Duty Flim with ZipSafe Slide Cutter "," AEP 18""x2000' Heavy Duty Flim with ZipSafe Slide Cutter ",18218X2HD,1,1,1,50000,2, AEP ,,,Y,,,,ROLL
19,Kitchen,Food Wrap,WRAP PAPER 12X12 RED CHECK G/R," Choice 12""x12"" Red Checkered Wrap Paper *1000 PK "," Choice 12""x12"" Red Checkered Wrap Paper *1000 PK ",999398,1,1,1,50000,12, Choice ,,,Y,,,,1000 CT
20,Disposables,Paper,NAPKIN 8.5X13 1/4 FOLD WHITE XP, Multifold Heavy Duty Paper Towel *4000 CS , Multifold Heavy Duty Paper Towel *4000 CS ,966MB550A,1,1,1,50000,10, Tork Advanced ,,,Y,,,,500 CT
21,Janitorial,Rest Room,TISSUE TOILET 2 PLY, Lavex Individually Wrapped 2-Ply Standard 500 Sheet Toilet Paper Roll , Lavex Individually Wrapped 2-Ply Standard 500 Sheet Toilet Paper Roll These individually-wrapped toilet paper rolls enable you to stock-up on extra rolls and conveniently store them in restroom stalls or on countertops.  ,5002TP3X496E,1,1,1,50000,11, Lavex ,,,Y,,,,500 CT
22,Janitorial,Rest Room,SEAT COVER HALF FOLD 14.5X17, Half Fold Paper Toilet Seat Cover ," These half fold paper toilet seat covers are an eco-friendly, disposable, and sanitary way to offer convenience and comfort anywhere away from home. 
 ",611P8362,1,1,1,50000,2, WSR ,,,Y,,,,250 CT
23,Janitorial,Rest Room,TOWEL MULTIFOLD 9.5X9.125 WHITE, Tork Advanced Multifold White Heavy Duty Towel , Tork Advanced Multifold White Heavy Duty Towel ,966MB550A,1,1,1,50000,13, Tork ,,,Y,,,,150 CT
24,Janitorial,Rest Room,"TOWEL ROLL 7.75"" WHITE 2 PLY ", 2-Ply Center Pull Paper Towel 600' *6 CS , 2-Ply Center Pull Paper Towel 600' *6 CS ,5002CPT,1,1,1,50000,15, Merfin ,,,Y,,,,525 FT
25,Kitchen,Food Wrap,PAPER PATTY DRY WAX," 5.5""x5.5"" Patty Wax Paper * 1000 BX, 24 BX/CS ","  Made of standard weight waxed paper, this patty paper allows you to interleave individual sheets between hamburger patties, fresh meats, cheeses, and more! Or use it for picking up food items to keep the product sanitary and uncontaminated.  ",433PP5555,1,1,1,50000,16, Durable Packaging ,,,Y,,,,1000 CT
26,Kitchen,Containers,CONTAINER PLASTIC 9X9X3 ," 9""x9""x3"" Compostable Take Out Container *200 CS ","  Excellent substitute for non-environmentally friendly products, such as foam or plastic. It provides convenience, portability, and quality. ",760HC9SC,1,1,1,50000,5, Dart Solo ,,,Y,,,,120 CT
27,Janitorial,Waste,LINER CAN 40X46 ," 45 Gallon Trash Bag 1.5 Mil 40""x46"" Low Density 100/CS ","  Low density garbage bags are more stretchable and give more easily than high density bags, because they are made from resins that are highly resistant to puncturing and tearing.  ",5014046,1,1,1,50000,30, Li'l Herc ,,,Y,,,,10 CT
